"id","youth","ethnicity","village","item","choice","y"
"46558",2,2,"Mankanza",15,48,0
"46558",2,2,"Mankanza",10,28,0
"46558",2,2,"Mankanza",11,29,1
"46558",2,2,"Mankanza",12,36,1
"46558",2,2,"Mankanza",9,26,1
"46558",2,2,"Mankanza",4,7,0
"46558",2,2,"Mankanza",1,1,0
"46558",2,2,"Mankanza",7,19,1
"46558",2,2,"Mankanza",5,10,0
"46558",2,2,"Mankanza",2,4,1
"46558",2,2,"Mankanza",8,22,0
"46558",2,2,"Mankanza",14,41,0
"46558",2,2,"Mankanza",3,6,0
"46558",2,2,"Mankanza",6,15,0
"46558",2,2,"Mankanza",13,38,0
"31160",2,1,"Mankanza",12,35,0
"31160",2,1,"Mankanza",11,29,1
"31160",2,1,"Mankanza",6,15,0
"31160",2,1,"Mankanza",13,38,0
"31160",2,1,"Mankanza",14,41,0
"31160",2,1,"Mankanza",8,22,0
"31160",2,1,"Mankanza",3,6,0
"31160",2,1,"Mankanza",9,25,0
"31160",2,1,"Mankanza",10,27,1
"31160",2,1,"Mankanza",15,48,0
"31160",2,1,"Mankanza",2,3,0
"31160",2,1,"Mankanza",5,9,1
"31160",2,1,"Mankanza",7,20,0
"31160",2,1,"Mankanza",1,1,0
"31160",2,1,"Mankanza",4,7,0
"90464",2,2,"Mankanza",7,20,0
"90464",2,2,"Mankanza",1,1,0
"90464",2,2,"Mankanza",4,7,0
"90464",2,2,"Mankanza",12,36,1
"90464",2,2,"Mankanza",11,29,1
"90464",2,2,"Mankanza",15,47,1
"90464",2,2,"Mankanza",13,37,1
"90464",2,2,"Mankanza",10,28,0
"90464",2,2,"Mankanza",6,16,1
"90464",2,2,"Mankanza",3,6,0
"90464",2,2,"Mankanza",14,42,1
"90464",2,2,"Mankanza",8,22,0
"90464",2,2,"Mankanza",9,26,1
"90464",2,2,"Mankanza",2,3,0
"90464",2,2,"Mankanza",5,9,1
"23062",2,2,"Mankanza",5,10,0
"23062",2,2,"Mankanza",2,3,0
"23062",2,2,"Mankanza",9,26,1
"23062",2,2,"Mankanza",8,22,0
"23062",2,2,"Mankanza",14,41,0
"23062",2,2,"Mankanza",3,5,1
"23062",2,2,"Mankanza",6,16,1
"23062",2,2,"Mankanza",10,28,0
"23062",2,2,"Mankanza",13,38,0
"23062",2,2,"Mankanza",15,48,0
"23062",2,2,"Mankanza",11,29,1
"23062",2,2,"Mankanza",12,35,0
"23062",2,2,"Mankanza",4,7,0
"23062",2,2,"Mankanza",1,2,1
"23062",2,2,"Mankanza",7,20,0
"81533",2,2,"Mankanza",7,20,0
"81533",2,2,"Mankanza",1,1,0
"81533",2,2,"Mankanza",5,10,0
"81533",2,2,"Mankanza",2,3,0
"81533",2,2,"Mankanza",9,25,0
"81533",2,2,"Mankanza",8,22,0
"81533",2,2,"Mankanza",14,41,0
"81533",2,2,"Mankanza",3,5,1
"81533",2,2,"Mankanza",6,15,0
"81533",2,2,"Mankanza",10,28,0
"81533",2,2,"Mankanza",13,38,0
"81533",2,2,"Mankanza",15,48,0
"81533",2,2,"Mankanza",11,29,1
"81533",2,2,"Mankanza",4,7,0
"81533",2,2,"Mankanza",12,35,0
"92946",2,2,"Mankanza",13,37,1
"92946",2,2,"Mankanza",4,7,0
"92946",2,2,"Mankanza",15,47,1
"92946",2,2,"Mankanza",11,29,1
"92946",2,2,"Mankanza",6,16,1
"92946",2,2,"Mankanza",7,19,1
"92946",2,2,"Mankanza",1,2,1
"92946",2,2,"Mankanza",10,27,1
"92946",2,2,"Mankanza",5,10,0
"92946",2,2,"Mankanza",3,6,0
"92946",2,2,"Mankanza",12,36,1
"92946",2,2,"Mankanza",8,21,1
"92946",2,2,"Mankanza",14,42,1
"92946",2,2,"Mankanza",9,26,1
"92946",2,2,"Mankanza",2,4,1
"72302",2,2,"Mankanza",2,3,0
"72302",2,2,"Mankanza",13,37,1
"72302",2,2,"Mankanza",4,8,1
"72302",2,2,"Mankanza",6,16,1
"72302",2,2,"Mankanza",15,48,0
"72302",2,2,"Mankanza",9,25,0
"72302",2,2,"Mankanza",14,41,0
"72302",2,2,"Mankanza",8,21,1
"72302",2,2,"Mankanza",12,35,0
"72302",2,2,"Mankanza",3,6,0
"72302",2,2,"Mankanza",5,10,0
"72302",2,2,"Mankanza",10,27,1
"72302",2,2,"Mankanza",1,2,1
"72302",2,2,"Mankanza",7,20,0
"72302",2,2,"Mankanza",11,29,1
"58113",2,2,"Mankanza",4,7,0
"58113",2,2,"Mankanza",13,38,0
"58113",2,2,"Mankanza",15,48,0
"58113",2,2,"Mankanza",11,29,1
"58113",2,2,"Mankanza",6,15,0
"58113",2,2,"Mankanza",7,20,0
"58113",2,2,"Mankanza",1,1,0
"58113",2,2,"Mankanza",10,28,0
"58113",2,2,"Mankanza",5,10,0
"58113",2,2,"Mankanza",3,6,0
"58113",2,2,"Mankanza",12,35,0
"58113",2,2,"Mankanza",8,22,0
"58113",2,2,"Mankanza",14,41,0
"58113",2,2,"Mankanza",9,25,0
"58113",2,2,"Mankanza",2,3,0
"08566",2,2,"Mankanza",13,37,1
"08566",2,2,"Mankanza",4,7,0
"08566",2,2,"Mankanza",15,47,1
"08566",2,2,"Mankanza",11,29,1
"08566",2,2,"Mankanza",6,16,1
"08566",2,2,"Mankanza",7,19,1
"08566",2,2,"Mankanza",1,2,1
"08566",2,2,"Mankanza",10,27,1
"08566",2,2,"Mankanza",5,10,0
