"id","village","sex","adult","bayaka","adolescent_age"
"46558","Mankanza","f",0,0,13
"31160","Mankanza","f",0,1,12
"90464","Mankanza","f",0,0,12
"23062","Mankanza","f",0,0,12
"81533","Mankanza","m",0,0,12
"92946","Mankanza","m",0,0,13
"72302","Mankanza","m",0,0,13
"58113","Mankanza","f",0,0,13
"08566","Mankanza","f",0,0,12
"88082","Mankanza","f",0,1,16
"86565","Mankanza","f",0,0,17
"51285","Mankanza","f",1,0,NA
"96166","Mankanza","f",1,0,NA
"39332","Mankanza","f",0,0,16
"97598","Mankanza","f",0,0,16
"31657","Mankanza","f",0,0,17
"26922","Mankanza","f",0,0,16
"69538","Mankanza","f",0,0,17
"47240","Mankanza","f",0,0,17
"85735","Mankanza","f",0,0,16
"24222","Mankanza","m",1,0,NA
"75668","Mankanza","m",1,0,NA
"09301","Mankanza","m",1,0,NA
"40596","Mankanza","m",1,0,NA
"44119","Mankanza","m",1,0,NA
"99731","Mankanza","m",1,0,NA
"20433","Mankanza","f",1,0,NA
"66242","Mankanza","f",1,0,NA
"55246","Mankanza","f",1,0,NA
"81237","Mankanza","f",1,0,NA
"16105","Mankanza","f",1,0,NA
"90995","Mankanza","f",1,0,NA
"72841","Mankanza","f",1,0,NA
"37494","Mankanza","f",1,0,NA
"29158","Mankanza","f",1,0,NA
"32928","Mankanza","f",1,0,NA
"88864","Mankanza","f",1,0,NA
"27057","Mankanza","f",1,0,NA
"41299","Mankanza","m",0,1,13
"24402","Mankanza","m",0,0,13
"46434","Mankanza","f",0,0,14
"38962","Mankanza","f",0,0,15
"82938","Mankanza","f",0,1,14
"59864","Mankanza","m",0,1,14
"83536","Mankanza","f",0,0,15
"64615","Mankanza","f",0,0,14
"26670","Mankanza","m",0,0,15
"75546","Mankanza","m",0,0,15
"81213","Mankanza","m",0,0,15
"26391","Mankanza","m",0,0,14
"89432","Mankanza","m",0,0,14
"11184","Mankanza","m",0,0,16
"97168","Mankanza","m",0,0,16
"14174","Mankanza","m",0,0,16
"68682","Mankanza","m",1,0,NA
"88631","Mankanza","m",1,0,NA
"53818","Mankanza","m",1,0,NA
"18520","Mankanza","m",1,0,NA
"47752","Mankanza","m",1,0,NA
"03463","Mankanza","m",1,0,NA
"96893","Mankanza","m",1,0,NA
"45775","Mankanza","m",1,0,NA
"40537","Mankanza","m",1,0,NA
"17098","Mankanza","m",1,0,NA
"78525","Mankanza","m",1,0,NA
"75581","Mankanza","m",1,0,NA
"35848","Mankanza","m",1,0,NA
"76817","Mankanza","m",1,0,NA
"86008","Mankanza","m",1,0,NA
"26152","Mankanza","m",1,0,NA
"82425","Mankanza","m",1,0,NA
"34815","Mankanza","m",1,0,NA
"11015","Mankanza","m",1,0,NA
"30915","Mankanza","m",1,0,NA
"60685","Mankanza","m",1,0,NA
"33856","Mankanza","m",1,0,NA
"22047","Mankanza","m",1,0,NA
"01312","Mankanza","f",1,0,NA
"57102","Mankanza","f",1,0,NA
"04723","Mankanza","f",1,0,NA
"04875","Mankanza","f",0,1,15
"49732","Mankanza","f",1,1,NA
"91563","Mankanza","f",1,1,NA
"03799","Mankanza","f",0,1,17
"69815","Mankanza","f",1,1,NA
"69139","Mankanza","f",1,1,NA
"85081","Mankanza","f",1,1,NA
"04713","Mankanza","f",1,1,NA
"49447","Mankanza","f",1,1,NA
"72051","Mankanza","f",1,1,NA
"51434","Mankanza","f",1,1,NA
"10266","Mankanza","f",1,1,NA
"29662","Mankanza","f",1,1,NA
"25539","Mankanza","f",0,1,12
"46761","Mankanza","m",0,1,16
"23258","Mankanza","m",1,1,NA
"88768","Mankanza","f",0,1,17
"55969","Mankanza","f",1,1,NA
"75197","Mankanza","f",0,1,16
"06804","Mankanza","m",0,1,17
"65517","Mankanza","f",1,1,NA
"87746","Mankanza","m",1,1,NA
"20602","Mankanza","f",1,1,NA
"45717","Mankanza","f",1,1,NA
"42214","Mankanza","f",1,1,NA
"27189","Mankanza","f",1,1,NA
"31887","Mankanza","f",1,1,NA
"64465","Mankanza","f",0,1,13
"15025","Mankanza","f",1,1,NA
"08949","Mankanza","m",1,1,NA
"33766","Mankanza","m",1,1,NA
