"id","youth","ethnicity","village","image_choice","y"
"26814",2,2,"Mankanza",48,0
"26814",2,2,"Mankanza",28,0
"26814",2,2,"Mankanza",29,1
"26814",2,2,"Mankanza",36,1
"26814",2,2,"Mankanza",26,1
"26814",2,2,"Mankanza",7,0
"26814",2,2,"Mankanza",1,0
"26814",2,2,"Mankanza",19,1
"26814",2,2,"Mankanza",10,0
"26814",2,2,"Mankanza",4,1
"26814",2,2,"Mankanza",22,0
"26814",2,2,"Mankanza",41,0
"26814",2,2,"Mankanza",6,0
"26814",2,2,"Mankanza",15,0
"26814",2,2,"Mankanza",38,0
"75456",2,1,"Mankanza",35,0
"75456",2,1,"Mankanza",29,1
"75456",2,1,"Mankanza",15,0
"75456",2,1,"Mankanza",38,0
"75456",2,1,"Mankanza",41,0
"75456",2,1,"Mankanza",22,0
"75456",2,1,"Mankanza",6,0
"75456",2,1,"Mankanza",25,0
"75456",2,1,"Mankanza",27,1
"75456",2,1,"Mankanza",48,0
"75456",2,1,"Mankanza",3,0
"75456",2,1,"Mankanza",9,1
"75456",2,1,"Mankanza",20,0
"75456",2,1,"Mankanza",1,0
"75456",2,1,"Mankanza",7,0
"02736",2,2,"Mankanza",20,0
"02736",2,2,"Mankanza",1,0
"02736",2,2,"Mankanza",7,0
"02736",2,2,"Mankanza",36,1
"02736",2,2,"Mankanza",29,1
"02736",2,2,"Mankanza",47,1
"02736",2,2,"Mankanza",37,1
"02736",2,2,"Mankanza",28,0
"02736",2,2,"Mankanza",16,1
"02736",2,2,"Mankanza",6,0
"02736",2,2,"Mankanza",42,1
"02736",2,2,"Mankanza",22,0
"02736",2,2,"Mankanza",26,1
"02736",2,2,"Mankanza",3,0
"02736",2,2,"Mankanza",9,1
"72391",2,2,"Mankanza",10,0
"72391",2,2,"Mankanza",3,0
"72391",2,2,"Mankanza",26,1
"72391",2,2,"Mankanza",22,0
"72391",2,2,"Mankanza",41,0
"72391",2,2,"Mankanza",5,1
"72391",2,2,"Mankanza",16,1
"72391",2,2,"Mankanza",28,0
"72391",2,2,"Mankanza",38,0
"72391",2,2,"Mankanza",48,0
"72391",2,2,"Mankanza",29,1
"72391",2,2,"Mankanza",35,0
"72391",2,2,"Mankanza",7,0
"72391",2,2,"Mankanza",2,1
"72391",2,2,"Mankanza",20,0
"59789",2,2,"Mankanza",20,0
"59789",2,2,"Mankanza",1,0
"59789",2,2,"Mankanza",10,0
"59789",2,2,"Mankanza",3,0
"59789",2,2,"Mankanza",25,0
"59789",2,2,"Mankanza",22,0
"59789",2,2,"Mankanza",41,0
"59789",2,2,"Mankanza",5,1
"59789",2,2,"Mankanza",15,0
"59789",2,2,"Mankanza",28,0
"59789",2,2,"Mankanza",38,0
"59789",2,2,"Mankanza",48,0
"59789",2,2,"Mankanza",29,1
"59789",2,2,"Mankanza",7,0
"59789",2,2,"Mankanza",35,0
"31274",2,2,"Mankanza",37,1
"31274",2,2,"Mankanza",7,0
"31274",2,2,"Mankanza",47,1
"31274",2,2,"Mankanza",29,1
"31274",2,2,"Mankanza",16,1
"31274",2,2,"Mankanza",19,1
"31274",2,2,"Mankanza",2,1
"31274",2,2,"Mankanza",27,1
"31274",2,2,"Mankanza",10,0
"31274",2,2,"Mankanza",6,0
"31274",2,2,"Mankanza",36,1
"31274",2,2,"Mankanza",21,1
"31274",2,2,"Mankanza",42,1
"31274",2,2,"Mankanza",26,1
"31274",2,2,"Mankanza",4,1
"11806",2,2,"Mankanza",3,0
"11806",2,2,"Mankanza",37,1
"11806",2,2,"Mankanza",8,1
"11806",2,2,"Mankanza",16,1
"11806",2,2,"Mankanza",48,0
"11806",2,2,"Mankanza",25,0
"11806",2,2,"Mankanza",41,0
"11806",2,2,"Mankanza",21,1
"11806",2,2,"Mankanza",35,0
"11806",2,2,"Mankanza",6,0
"11806",2,2,"Mankanza",10,0
"11806",2,2,"Mankanza",27,1
"11806",2,2,"Mankanza",2,1
"11806",2,2,"Mankanza",20,0
"11806",2,2,"Mankanza",29,1
"77414",2,2,"Mankanza",7,0
"77414",2,2,"Mankanza",38,0
"77414",2,2,"Mankanza",48,0
"77414",2,2,"Mankanza",29,1
"77414",2,2,"Mankanza",15,0
"77414",2,2,"Mankanza",20,0
"77414",2,2,"Mankanza",1,0
"77414",2,2,"Mankanza",28,0
"77414",2,2,"Mankanza",10,0
"77414",2,2,"Mankanza",6,0
"77414",2,2,"Mankanza",35,0
"77414",2,2,"Mankanza",22,0
"77414",2,2,"Mankanza",41,0
"77414",2,2,"Mankanza",25,0
"77414",2,2,"Mankanza",3,0
"19411",2,2,"Mankanza",37,1
"19411",2,2,"Mankanza",7,0
"19411",2,2,"Mankanza",47,1
"19411",2,2,"Mankanza",29,1
"19411",2,2,"Mankanza",16,1
"19411",2,2,"Mankanza",19,1
"19411",2,2,"Mankanza",2,1
"19411",2,2,"Mankanza",27,1
"19411",2,2,"Mankanza",10,0
"19411",2,2,"Mankanza",5,1
"19411",2,2,"Mankanza",35,0
"19411",2,2,"Mankanza",22,0
"19411",2,2,"Mankanza",42,1
"19411",2,2,"Mankanza",25,0
"19411",2,2,"Mankanza",4,1
"07702",2,1,"Mankanza",6,0
"07702",2,1,"Mankanza",15,0
"07702",2,1,"Mankanza",38,0
"07702",2,1,"Mankanza",48,0
"07702",2,1,"Mankanza",28,0
"07702",2,1,"Mankanza",30,0
"07702",2,1,"Mankanza",7,0
"07702",2,1,"Mankanza",1,0
"07702",2,1,"Mankanza",20,0
"07702",2,1,"Mankanza",9,1
"07702",2,1,"Mankanza",3,0
"07702",2,1,"Mankanza",22,0
"07702",2,1,"Mankanza",41,0
"07702",2,1,"Mankanza",36,1
"07702",2,1,"Mankanza",26,1
"20904",2,2,"Mankanza",35,0
"20904",2,2,"Mankanza",29,1
"20904",2,2,"Mankanza",15,0
"20904",2,2,"Mankanza",38,0
"20904",2,2,"Mankanza",41,0
"20904",2,2,"Mankanza",22,0
"20904",2,2,"Mankanza",6,0
"20904",2,2,"Mankanza",26,1
"20904",2,2,"Mankanza",27,1
"20904",2,2,"Mankanza",48,0
"20904",2,2,"Mankanza",3,0
"20904",2,2,"Mankanza",10,0
"20904",2,2,"Mankanza",20,0
"20904",2,2,"Mankanza",1,0
"20904",2,2,"Mankanza",7,0
"48945",1,2,"Mankanza",20,0
"48945",1,2,"Mankanza",6,0
"48945",1,2,"Mankanza",1,0
"48945",1,2,"Mankanza",28,0
"48945",1,2,"Mankanza",25,0
"48945",1,2,"Mankanza",22,0
"48945",1,2,"Mankanza",15,0
"48945",1,2,"Mankanza",38,0
"48945",1,2,"Mankanza",10,0
"48945",1,2,"Mankanza",3,0
"48945",1,2,"Mankanza",29,1
"48945",1,2,"Mankanza",41,0
"48945",1,2,"Mankanza",48,0
"48945",1,2,"Mankanza",7,0
"48945",1,2,"Mankanza",35,0
"90306",1,2,"Mankanza",5,1
"90306",1,2,"Mankanza",41,0
"90306",1,2,"Mankanza",22,0
"90306",1,2,"Mankanza",25,0
