"id","village","sex","adult","bayaka","adolescent_age"
"94298","Mankanza","f",0,0,13
"28938","Mankanza","f",0,1,12
"62463","Mankanza","f",0,0,12
"67470","Mankanza","f",0,0,12
"51482","Mankanza","m",0,0,12
"32448","Mankanza","m",0,0,13
"26135","Mankanza","m",0,0,13
"76032","Mankanza","f",0,0,13
"48381","Mankanza","f",0,0,12
"18481","Mankanza","f",0,1,16
"68491","Mankanza","f",0,0,17
"64447","Mankanza","f",1,0,NA
"28286","Mankanza","f",1,0,NA
"74635","Mankanza","f",0,0,16
"72058","Mankanza","f",0,0,16
"64444","Mankanza","f",0,0,17
"77344","Mankanza","f",0,0,16
"93071","Mankanza","f",0,0,17
"71230","Mankanza","f",0,0,17
"77067","Mankanza","f",0,0,16
"06238","Mankanza","m",1,0,NA
"00547","Mankanza","m",1,0,NA
"48702","Mankanza","m",1,0,NA
"85290","Mankanza","m",1,0,NA
"01566","Mankanza","m",1,0,NA
"84764","Mankanza","m",1,0,NA
"36019","Mankanza","f",1,0,NA
"28589","Mankanza","f",1,0,NA
"15644","Mankanza","f",1,0,NA
"00491","Mankanza","f",1,0,NA
"37114","Mankanza","f",1,0,NA
"13007","Mankanza","f",1,0,NA
"41922","Mankanza","f",1,0,NA
"25053","Mankanza","f",1,0,NA
"76932","Mankanza","f",1,0,NA
"56621","Mankanza","f",1,0,NA
"25269","Mankanza","f",1,0,NA
"74087","Mankanza","f",1,0,NA
"24363","Mankanza","m",0,1,13
"29188","Mankanza","m",0,0,13
"81897","Mankanza","f",0,0,14
"37686","Mankanza","f",0,0,15
"50667","Mankanza","f",0,1,14
"27772","Mankanza","m",0,1,14
"62458","Mankanza","f",0,0,15
"12077","Mankanza","f",0,0,14
"66316","Mankanza","m",0,0,15
"16709","Mankanza","m",0,0,15
"65359","Mankanza","m",0,0,15
"85414","Mankanza","m",0,0,14
"11472","Mankanza","m",0,0,14
"55434","Mankanza","m",0,0,16
"80679","Mankanza","m",0,0,16
"80179","Mankanza","m",0,0,16
"24769","Mankanza","m",1,0,NA
"75462","Mankanza","m",1,0,NA
"87130","Mankanza","m",1,0,NA
"05063","Mankanza","m",1,0,NA
"77720","Mankanza","m",1,0,NA
"44252","Mankanza","m",1,0,NA
"05833","Mankanza","m",1,0,NA
"07328","Mankanza","m",1,0,NA
"98157","Mankanza","m",1,0,NA
"10527","Mankanza","m",1,0,NA
"44823","Mankanza","m",1,0,NA
"88949","Mankanza","m",1,0,NA
"12260","Mankanza","m",1,0,NA
"46655","Mankanza","m",1,0,NA
"71255","Mankanza","m",1,0,NA
"67952","Mankanza","m",1,0,NA
"76507","Mankanza","m",1,0,NA
"98272","Mankanza","m",1,0,NA
"47539","Mankanza","m",1,0,NA
"09512","Mankanza","m",1,0,NA
"40581","Mankanza","m",1,0,NA
"16090","Mankanza","m",1,0,NA
"11102","Mankanza","m",1,0,NA
"20213","Mankanza","f",1,0,NA
"58052","Mankanza","f",1,0,NA
"29912","Mankanza","f",1,0,NA
"37652","Mankanza","f",0,1,15
"65572","Mankanza","f",1,1,NA
"60180","Mankanza","f",1,1,NA
"96300","Mankanza","f",0,1,17
"57873","Mankanza","f",1,1,NA
"23288","Mankanza","f",1,1,NA
"82322","Mankanza","f",1,1,NA
"64159","Mankanza","f",1,1,NA
"06680","Mankanza","f",1,1,NA
"15305","Mankanza","f",1,1,NA
"52920","Mankanza","f",1,1,NA
"69390","Mankanza","f",1,1,NA
"89427","Mankanza","f",1,1,NA
"19761","Mankanza","f",0,1,12
"81539","Mankanza","m",0,1,16
"14015","Mankanza","m",1,1,NA
"27669","Mankanza","f",0,1,17
"83473","Mankanza","f",1,1,NA
"53969","Mankanza","f",0,1,16
"54542","Mankanza","m",0,1,17
"28947","Mankanza","f",1,1,NA
"57395","Mankanza","m",1,1,NA
"03319","Mankanza","f",1,1,NA
"66439","Mankanza","f",1,1,NA
"47359","Mankanza","f",1,1,NA
"20923","Mankanza","f",1,1,NA
"08714","Mankanza","f",1,1,NA
"39554","Mankanza","f",0,1,13
"74466","Mankanza","f",1,1,NA
"17704","Mankanza","m",1,1,NA
"99550","Mankanza","m",1,1,NA
"38307","Mankanza","f",1,1,NA
"32012","Mankanza","f",1,1,NA
"18847","Mankanza","m",1,1,NA
"36050","Mankanza","m",1,1,NA
"24180","Mankanza","m",0,1,15
"27510","Mankanza","m",0,1,17
"23224","Bokulu","f",1,0,NA
"46384","Bokulu","f",1,0,NA
"10076","Bokulu","f",1,0,NA
"98334","Bokulu","m",1,0,NA
"17005","Bokulu","m",0,0,12
"75420","Bokulu","f",0,1,15
"82627","Bokulu","m",0,0,17
"54195","Bokulu","m",0,1,14
"48852","Bokulu","m",0,1,12
"76162","Bokulu","m",0,1,15
"04738","Bokulu","m",0,1,14
"04352","Bokulu","m",0,1,12
"31957","Bokulu","f",0,1,12
"57772","Bokulu","m",0,1,12
"07885","Bokulu","m",0,1,12
"89593","Bokulu","m",0,1,12
"01054","Bokulu","f",0,1,13
"28845","Bokulu","m",0,0,14
"77930","Bokulu","f",0,0,15
"22993","Bokulu","f",0,0,13
"17507","Bokulu","f",0,0,12
"30852","Bokulu","f",0,0,12
"43448","Bokulu","f",0,0,12
"14980","Bokulu","f",0,0,14
"19331","Bokulu","f",0,0,12
"33023","Bokulu","f",0,0,12
"85023","Bokulu","f",0,0,14
"01029","Bokulu","m",0,0,15
"91161","Bokulu","m",0,0,14
"14754","Bokulu","m",0,0,16
"94389","Bokulu","m",0,0,12
"28234","Bokulu","m",0,0,16
"88644","Bokulu","m",0,0,14
"27473","Bokulu","m",0,0,12
"67896","Bokulu","m",0,0,12
"97077","Bokulu","m",0,0,12
"65124","Bokulu","f",0,1,13
"16599","Bokulu","m",0,1,14
"04355","Bokulu","f",0,1,14
"13507","Bokulu","f",0,1,15
"13277","Bokulu","f",0,1,12
"23633","Bokulu","f",0,1,12
"58522","Bokulu","f",0,1,17
"67074","Bokulu","m",1,0,NA
"98633","Bokulu","m",1,0,NA
"48525","Bokulu","m",1,0,NA
"98077","Bokulu","f",1,0,NA
"07761","Bokulu","f",1,0,NA
"72406","Bokulu","f",1,0,NA
"80251","Bokulu","f",1,0,NA
"40507","Bokulu","m",1,0,NA
"07772","Bokulu","f",1,0,NA
"01358","Dibumba","m",0,1,12
"63410","Dibumba","m",0,1,14
"38108","Dibumba","m",0,1,15
"82695","Dibumba","m",0,1,14
"41871","Dibumba","m",1,1,NA
"48962","Dibumba","m",0,1,17
"08679","Dibumba","f",0,0,13
"77173","Dibumba","f",0,1,12
"20051","Dibumba","f",0,1,13
"85576","Dibumba","m",0,1,13
"82781","Dibumba","f",0,1,13
"57044","Dibumba","f",0,1,14
"76290","Dibumba","m",0,1,16
"75381","Dibumba","m",0,0,17
"59222","Dibumba","f",1,1,NA
"26706","Dibumba","f",0,1,17
"48227","Dibumba","f",1,1,NA
"59180","Dibumba","f",0,1,15
"09720","Dibumba","f",0,1,15
"12392","Dibumba","m",0,0,17
"99203","Dibumba","m",0,0,17
"62509","Dibumba","f",0,0,14
"84744","Dibumba","m",0,0,16
"28043","Dibumba","m",0,0,17
"07427","Dibumba","m",0,0,15
"85870","Dibumba","m",0,0,12
"14760","Dibumba","f",0,0,11
"31465","Dibumba","f",0,0,13
"90645","Dibumba","f",0,0,14
"77373","Dibumba","f",0,0,14
"94613","Dibumba","f",0,0,14
"08837","Dibumba","f",0,0,13
"75568","Dibumba","m",0,0,12
"29895","Dibumba","f",0,0,9
"49412","Dibumba","m",0,0,16
"83607","Dibumba","f",0,0,14
"00888","Dibumba","f",0,0,9
"99289","Dibumba","m",0,0,12
"27198","Dibumba","m",0,0,10
"87429","Dibumba","m",0,0,15
"23660","Dibumba","f",0,0,11
"40841","Dibumba","f",0,0,9
"59940","Dibumba","m",0,1,16
"05395","Dibumba","m",1,0,NA
"51537","Dibumba","m",1,0,NA
"84618","Dibumba","m",1,0,NA
"79303","Dibumba","m",1,0,NA
"77726","Dibumba","m",1,0,NA
"38731","Dibumba","f",1,0,NA
"86419","Dibumba","m",0,0,15
"37391","Dibumba","f",1,0,NA
"08386","Dibumba","f",1,0,NA
"81336","Dibumba","f",1,0,NA
"67659","Dibumba","m",1,0,NA
"99810","Dibumba","f",1,0,NA
"40064","Dibumba","m",1,0,NA
"14188","Dibumba","m",1,0,NA
"59643","Dibumba","f",0,1,13
"94193","Dibumba","m",0,1,17
"38379","Dibumba","m",0,1,16
"87110","Dibumba","f",0,1,14
"30700","Dibumba","m",0,1,13
"54834","Dibumba","m",0,1,17
"28203","Dibumba","m",0,1,16
"74755","Dibumba","m",1,1,NA
"79906","Dibumba","m",1,1,NA
"29933","Dibumba","f",1,1,NA
"05886","Dibumba","f",1,1,NA
"00997","Dibumba","f",1,1,NA
"69635","Dibumba","f",1,1,NA
"00169","Dibumba","f",1,1,NA
"11861","Dibumba","m",1,1,NA
"09825","Dibumba","f",1,1,NA
"58825","Dibumba","m",1,1,NA
"85391","Dibumba","f",1,1,NA
"94098","Dibumba","f",1,1,NA
"57344","Dibumba","f",1,1,NA
"78727","Dibumba","m",1,1,NA
"65632","Dibumba","m",1,1,NA
"12998","Dibumba","m",1,1,NA
"20398","Dibumba","m",1,1,NA
"90184","Dibumba","m",1,1,NA
"86989","Dibumba","m",1,1,NA
"41363","Dibumba","f",0,1,14
"06981","Dibumba","f",1,0,NA
"37178","Dibumba","f",1,0,NA
"30395","Dibumba","f",1,0,NA
"94877","Dibumba","f",1,0,NA
"14243","Dibumba","f",1,0,NA
"03691","Dibumba","m",0,1,15
"59439","Dibumba","m",0,1,14
